_start,_stop,_time,_value
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:24:45Z,323
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:24:50Z,322
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:24:55Z,323
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:25:00Z,322
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:25:05Z,322
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:25:10Z,323
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:25:15Z,323
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:25:20Z,321
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:25:25Z,321
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:25:30Z,321
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:25:35Z,322
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:25:40Z,321
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:25:45Z,317
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:25:51Z,319
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:25:56Z,322
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:26:01Z,320
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:26:06Z,320
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:26:11Z,322
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:26:16Z,323
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:26:21Z,323
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:26:26Z,323
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:26:31Z,322
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:26:36Z,322
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:26:41Z,323
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:26:46Z,324
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:26:52Z,324
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:26:57Z,322
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:27:02Z,322
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:27:07Z,321
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:27:12Z,323
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:27:17Z,325
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:27:22Z,326
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:27:27Z,326
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:27:32Z,325
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:27:37Z,324
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:27:42Z,323
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:27:47Z,322
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:27:53Z,321
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:27:58Z,320
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:28:03Z,321
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:28:08Z,322
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:28:13Z,322
